a_year,a_ref,a_District,a_type,a_veh,a_cas,a_wkday,a_day,a_month,a_hour,a_min,a_gd1,a_gd2,a_ctype,a_speed,a_jdet,a_jcont,a_pedhum,a_pedphys,a_light,a_weat,a_roadsc,a_speccs,a_chaz,a_scene
2016,1,NEMD,3,1,1,FRI,1,1,1,49,350433,350304,13,60, , , , , , , , , , 
2016,2,DCST,3,2,1,FRI,1,1,3,19,245199,419302,11,50, , , , , , , , , , 
2016,3,ARND,2,1,1,FRI,1,1,3,35,349647,361139,13,60,1,1,1,1,6,2,4,1,1,1
2016,4,BELC,3,2,2,FRI,1,1,3,50,336593,373741,13,30, , , , , , , , , , 
2016,5,BELC,3,2,1,FRI,1,1,15,4,333838,373942,2,30, , , , , , , , , , 
2016,6,DCST,3,2,3,FRI,1,1,15,42,238894,404066,13,60, , , , , , , , , , 
2016,7,BELC,3,2,2,FRI,1,1,16,30,334192,377899,13,30, , , , , , , , , , 
2016,8,BELC,3,2,1,SAT,2,1,0,22,332765,372332,13,30, , , , , , , , , , 
2016,9,BELC,3,2,2,SAT,2,1,8,44,329646,369665,13,30, , , , , , , , , , 
2016,10,ANTN,2,3,7,SAT,2,1,8,50,302217,393564,13,60,1,1,1,1,2,2,2,1,1,1
2016,11,ARBC,2,2,2,SAT,2,1,8,51,273932,336911,13,60,10,7,1,1,1,1,2,1,1,1
2016,12,BELC,3,2,1,SAT,2,1,15,10,334644,379373,12,70, , , , , , , , , , 
2016,13,BELC,3,2,1,SAT,2,1,16,40,335874,374774,11,50, , , , , , , , , , 
2016,14,FERO,3,1,1,SUN,3,1,1,0,226063,341737,13,60, , , , , , , , , , 
2016,15,MEAN,3,2,2,SUN,3,1,1,20,308762,402196,13,40, , , , , , , , , , 
2016,16,NEMD,3,1,1,SUN,3,1,1,38,330499,314533,13,30, , , , , , , , , , 
2016,17,BELC,3,2,1,SUN,3,1,4,12,335114,373946,13,30, , , , , , , , , , 
2016,18,BELC,3,2,2,SUN,3,1,5,45,330686,372436,13,30, , , , , , , , , , 
2016,19,CCGL,3,1,1,SUN,3,1,12,55,304422,421534,13,60, , , , , , , , , , 
2016,20,ANTN,3,1,1,SUN,3,1,13,20,314665,387409,13,30, , , , , , , , , , 
2016,21,CCGL,3,2,1,SUN,3,1,13,47,269129,413054,13,60, , , , , , , , , , 
2016,22,BELC,3,2,1,SUN,3,1,14,15,333212,374365,13,30, , , , , , , , , , 
2016,23,BELC,3,2,2,SUN,3,1,14,30,333344,377473,13,30, , , , , , , , , , 
2016,24,LISC,3,1,1,SUN,3,1,15,53,328637,364174,13,50, , , , , , , , , , 
2016,25,BELC,3,2,1,SUN,3,1,16,30,333995,375695,13,30, , , , , , , , , , 
2016,26,ANTN,3,1,1,SUN,3,1,17,37,330460,390404,13,60, , , , , , , , , , 
2016,27,MIDU,3,2,3,SUN,3,1,18,5,280088,362310,13,30, , , , , , , , , , 
2016,28,MEAN,3,1,1,SUN,3,1,18,5,334444,412775,13,60, , , , , , , , , , 
2016,29,ANTN,2,1,1,SUN,3,1,18,30,314896,381033,13,60,3,7,1,1,6,1,2,1,1,1
2016,30,CCGL,3,1,1,MON,4,1,7,6,284391,420742,13,60, , , , , , , , , , 
2016,31,ARND,3,1,2,MON,4,1,8,0,351513,379481,13,30, , , , , , , , , , 
2016,32,CCGL,3,2,1,MON,4,1,8,41,254132,421328,1,60, , , , , , , , , , 
2016,33,DCST,3,2,3,MON,4,1,10,54,234918,399025,13,30, , , , , , , , , , 
2016,34,CCGL,3,5,3,MON,4,1,12,15,304229,420133,13,40, , , , , , , , , , 
2016,35,ARND,1,2,2,MON,4,1,14,9,343920,381123,13,50,12,7,1,1,1,1,2,1,1,1
2016,36,ANTN,3,2,1,MON,4,1,14,38,324122,386172,13,50, , , , , , , , , , 
2016,37,BELC,3,2,2,MON,4,1,15,14,335734,373631,13,30, , , , , , , , , , 
2016,38,ARBC,3,2,1,MON,4,1,16,0,301839,344772,13,60, , , , , , , , , , 
2016,39,ARND,3,4,4,MON,4,1,17,44,348888,372108,13,30, , , , , , , , , , 
2016,40,ARBC,3,3,2,MON,4,1,17,45,319922,333874,13,60, , , , , , , , , , 
2016,41,MIDU,3,3,1,MON,4,1,17,48,280489,364540,13,60, , , , , , , , , , 
2016,42,BELC,3,2,1,MON,4,1,18,37,333362,375919,13,30, , , , , , , , , , 
2016,43,MIDU,3,1,3,SUN,3,1,15,30,280726,364907,13,60, , , , , , , , , , 
2016,44,LISC,3,1,1,MON,4,1,21,0,330167,360913,13,60, , , , , , , , , , 
2016,45,MEAN,3,1,1,MON,4,1,21,40,320930,409612,13,60, , , , , , , , , , 
2016,46,FERO,3,1,2,MON,4,1,21,45,219276,335696,13,60, , , , , , , , , , 
2016,47,BELC,3,2,2,MON,4,1,22,10,334124,373520,13,30, , , , , , , , , , 
2016,48,BELC,3,3,1,TUE,5,1,7,40,334415,378455,12,70, , , , , , , , , , 
2016,49,LISC,3,4,2,TUE,5,1,8,21,322562,356766,11,60, , , , , , , , , , 
2016,50,ANTN,3,2,1,TUE,5,1,9,11,335449,382303,1,30, , , , , , , , , , 
2016,51,ANTN,3,2,1,TUE,5,1,9,48,314046,393005,13,60, , , , , , , , , , 
2016,52,FERO,3,2,1,TUE,5,1,12,35,245244,373122,13,30, , , , , , , , , , 
2016,53,ANTN,3,2,1,TUE,5,1,14,28,334458,380163,13,40, , , , , , , , , , 
2016,54,BELC,3,2,1,TUE,5,1,15,7,338502,373944,13,30, , , , , , , , , , 
2016,55,FERO,3,2,1,TUE,5,1,15,40,245546,368844,13,60, , , , , , , , , , 
2016,56,BELC,3,2,1,TUE,5,1,16,25,334418,377611,12,70, , , , , , , , , , 
2016,57,DCST,3,2,1,TUE,5,1,16,30,229054,379640,13,60, , , , , , , , , , 
2016,58,CCGL,3,2,2,TUE,5,1,16,54,295810,435467,13,60, , , , , , , , , , 
2016,59,LISC,3,1,1,TUE,5,1,17,16,341194,374031,13,30, , , , , , , , , , 
2016,60,MIDU,3,2,1,TUE,5,1,18,32,280550,376932,13,30, , , , , , , , , , 
2016,61,BELC,3,2,1,TUE,5,1,17,15,330028,370716,12,70, , , , , , , , , , 
2016,62,BELC,3,2,1,TUE,5,1,19,25,327642,368747,13,30, , , , , , , , , , 
2016,63,BELC,3,2,1,TUE,5,1,20,21,328460,371610,13,30, , , , , , , , , , 
2016,64,NEMD,3,1,1,TUE,5,1,22,11,330836,334276,13,60, , , , , , , , , , 
2016,65,ARND,3,1,1,WED,6,1,8,7,356645,379010,13,60, , , , , , , , , , 
2016,66,FERO,3,1,1,WED,6,1,8,17,262015,371456,13,30, , , , , , , , , , 
2016,67,ANTN,3,2,1,WED,6,1,9,6,335481,382311,13,40, , , , , , , , , , 
2016,68,LISC,3,1,1,WED,6,1,8,25,335642,368470,14,30, , , , , , , , , , 
2016,69,NEMD,3,1,1,WED,6,1,11,53,311218,333209,13,60, , , , , , , , , , 
2016,70,ARND,3,2,1,WED,6,1,12,11,338617,377343,14,30, , , , , , , , , , 
2016,71,ANTN,3,1,1,WED,6,1,14,14,325828,382072,13,60, , , , , , , , , , 
2016,72,MEAN,3,2,1,WED,6,1,9,0,338500,402988,13,30, , , , , , , , , , 
2016,73,ANTN,3,2,2,WED,6,1,15,0,334535,381386,13,30, , , , , , , , , , 
2016,74,ARBC,3,3,1,WED,6,1,16,28,307807,354200,13,60, , , , , , , , , , 
2016,75,LISC,3,2,1,WED,6,1,16,30,325430,373246,13,60, , , , , , , , , , 
2016,76,MEAN,3,2,1,WED,6,1,16,57,311022,400799,11,30, , , , , , , , , , 
2016,77,CCGL,3,1,1,WED,6,1,16,50,267475,418005,13,60, , , , , , , , , , 
2016,78,ARBC,3,3,4,WED,6,1,17,17,310784,358732,13,40, , , , , , , , , , 
2016,79,ARND,3,1,1,WED,6,1,18,30,354111,370529,13,60, , , , , , , , , , 
2016,80,MEAN,3,1,1,WED,6,1,18,45,310577,403007,13,30, , , , , , , , , , 
2016,81,MIDU,3,2,2,WED,6,1,18,40,285744,363877,13,60, , , , , , , , , , 
2016,82,ANTN,2,2,1,WED,6,1,19,49,323022,386540,13,60,10,7,1,1,6,1,2,1,1,1
2016,83,ANTN,3,2,1,TUE,5,1,14,15,335122,381401,13,30, , , , , , , , , , 
2016,84,DCST,3,1,1,WED,6,1,23,18,243418,416663,13,30, , , , , , , , , , 
2016,85,BELC,2,1,3,WED,6,1,23,26,332005,373090,11,50,1,1,1,1,7,2,2,1,1,1
2016,86,NEMD,3,2,2,THU,7,1,2,18,318501,319082,13,60, , , , , , , , , , 
2016,87,ANTN,3,1,1,THU,7,1,6,30,324778,377858,13,60, , , , , , , , , , 
2016,88,MEAN,3,2,1,THU,7,1,8,54,341157,387075,13,30, , , , , , , , , , 
2016,89,BELC,3,2,1,THU,7,1,13,13,338641,374574,11,30, , , , , , , , , , 
2016,90,ANTN,3,2,2,THU,7,1,13,50,330378,382961,1,30, , , , , , , , , , 
2016,91,MIDU,3,2,1,THU,7,1,14,40,282869,358371,13,60, , , , , , , , , , 
2016,92,NEMD,3,2,3,THU,7,1,15,40,306678,321868,13,60, , , , , , , , , , 
2016,93,MIDU,3,2,5,THU,7,1,15,52,281549,361603,13,30, , , , , , , , , , 
2016,94,BELC,3,2,1,THU,7,1,17,50,339165,373386,13,30, , , , , , , , , , 
2016,95,CCGL,3,2,1,THU,7,1,18,42,295163,425833,13,30, , , , , , , , , , 
2016,96,LISC,3,1,1,THU,7,1,19,15,324908,373891,13,60, , , , , , , , , , 
2016,97,ARND,3,2,1,THU,7,1,20,30,340986,379687,11,60, , , , , , , , , , 
2016,98,NEMD,3,2,2,THU,7,1,22,20,332463,333581,13,60, , , , , , , , , , 
2016,99,MIDU,3,1,1,THU,7,1,23,23,288834,393260,13,60, , , , , , , , , , 
2016,100,NEMD,2,2,2,FRI,8,1,8,10,289550,315923,13,60,6,4,1,1,2,9,2,1,1,1
2016,101,NEMD,3,3,1,FRI,8,1,8,50,340850,340270,13,30, , , , , , , , , , 
2016,102,MEAN,3,2,2,FRI,8,1,9,0,305862,405684,13,30, , , , , , , , , , 
2016,103,BELC,3,2,1,WED,6,1,17,30,334989,370803,13,30, , , , , , , , , , 
2016,104,ARBC,3,1,1,FRI,8,1,8,50,302329,356707,13,30, , , , , , , , , , 
2016,105,MEAN,3,2,1,FRI,8,1,11,53,339883,388258,13,30, , , , , , , , , , 
2016,106,LISC,3,2,1,FRI,8,1,12,5,328659,368094,13,30, , , , , , , , , , 
2016,107,BELC,3,2,5,FRI,8,1,12,21,333607,380421,13,30, , , , , , , , , , 
2016,108,ARBC,2,2,3,FRI,8,1,12,30,314200,344012,13,60,12,7,1,1,2,1,2,1,1,1
2016,109,MEAN,3,4,6,FRI,8,1,13,40,305900,416008,13,40, , , , , , , , , , 
2016,110,CCGL,3,1,1,FRI,8,1,14,0,294840,426016,13,30, , , , , , , , , , 
2016,111,BELC,3,2,1,FRI,8,1,15,15,333300,372109,13,30, , , , , , , , , , 
2016,112,MIDU,3,2,1,FRI,8,1,15,17,281071,378100,13,30, , , , , , , , , , 
2016,113,NEMD,3,2,1,FRI,8,1,15,30,347616,346111,13,60, , , , , , , , , , 
2016,114,MIDU,3,2,2,FRI,8,1,15,45,297144,403830,1,30, , , , , , , , , , 
2016,115,MEAN,3,1,1,FRI,8,1,16,10,310270,403129,13,30, , , , , , , , , , 
2016,116,FERO,3,2,1,FRI,8,1,16,17,225374,341927,13,60, , , , , , , , , , 
2016,117,LISC,3,2,1,FRI,8,1,16,59,325958,365047,13,30, , , , , , , , , , 
2016,118,BELC,3,2,1,FRI,8,1,16,59,331575,372348,12,70, , , , , , , , , , 
